experiment,RMSE_mean,MAE_mean,MAPE_mean,Pinball_P50_mean,PICP_80_mean,PINAW_80_mean
E2_global_mvmd_tft,180.97314494622077,122.75892172159891,24.645883463366747,61.379460860799455,0.7710069444444445,0.1729073043461026
E1_raw_tft,443.41415370712923,319.0974024249726,61.274772165716584,159.5487012124863,0.7338541666666667,0.4863279866256947
E3_rolling_mvmd_tft,457.40881768709784,324.8599257466503,64.66658855216762,162.42996287332514,0.7948784722222222,0.4961679919456029
E5_rolling_mvmd_en_tft,457.42695311881334,331.9912785244536,68.33559488666407,165.9956392622268,0.8160590277777778,0.5239696982738715
E4_rolling_mvmd_en_lstm,521.0545406341553,373.2031526565552,72.72860527038574,186.6015763282776,0.7728298611111111,0.5294689852744341
