experiment,RMSE_mean,MAE_mean,MAPE_mean,Pinball_P50_mean,PICP_80_mean,PINAW_80_mean
E2_global_mvmd_tft,356.482351630661,249.0123016436054,46.39862590868421,124.5061508218027,0.7724102377486658,0.33317049229353635
E1_raw_tft,490.187233278718,352.8558459841135,70.54447925276149,176.42792299205675,0.8252365356622998,0.5558072370119164
E5_rolling_mvmd_en_tft,491.4320851018544,355.6060568602746,69.27725009997216,177.8030284301373,0.7916969917515769,0.5332573926885458
E3_rolling_mvmd_tft,503.88674198640183,364.24571960753747,70.33861482675321,182.12285980376873,0.826024987869966,0.5331727992529297
E4_rolling_mvmd_en_lstm,526.3119703928629,383.6701275507609,74.89284006754558,191.83506377538046,0.7760492479378942,0.5521710471560558
