experiment,RMSE_mean,MAE_mean,MAPE_mean,Pinball_P50_mean,PICP_80_mean,PINAW_80_mean
E2_global_mvmd_tft,310.2243404204503,215.6270573075726,47.35018855972701,107.8135286537863,0.6961884830035515,0.2586256835897453
E5_rolling_mvmd_en_tft,439.8384193570435,318.9940405492062,67.06659438690514,159.4970202746031,0.7674403855910704,0.47460892594326326
E1_raw_tft,445.50757819000137,313.3036105306959,64.72250589376357,156.65180526534795,0.8084094368340944,0.46452724062144696
E3_rolling_mvmd_tft,461.08999011109677,325.404809838066,64.23674188690605,162.702404919033,0.7546296296296297,0.4966013858283902
E4_rolling_mvmd_en_lstm,491.7669760386149,355.1483093897502,72.15835388501485,177.5741546948751,0.7877980720446475,0.5227397363632917
