experiment,RMSE_mean,MAE_mean,MAPE_mean,Pinball_P50_mean,PICP_80_mean,PINAW_80_mean
E2_global_mvmd_tft,210.06128703572585,140.15406608928876,27.429172874608216,70.07703304464438,0.7418899858956277,0.1854973533710336
E1_raw_tft,466.2363607440273,335.46230196048117,64.07494937110356,167.73115098024059,0.8360954395862717,0.5304152101633928
E3_rolling_mvmd_tft,471.3875601861503,343.6333213127511,66.29045974898314,171.81666065637555,0.8134109073812882,0.5457248110493328
E5_rolling_mvmd_en_tft,473.6899612116399,343.40585881248325,67.67978274403717,171.70292940624162,0.8052421250587681,0.5342593287466891
E4_rolling_mvmd_en_lstm,517.1302363077799,378.4885018666585,73.76650253931682,189.24425093332925,0.8296897038081806,0.6125392019748688
