experiment,RMSE_mean,MAE_mean,MAPE_mean,Pinball_P50_mean,PICP_80_mean,PINAW_80_mean
E2_global_mvmd_tft,326.45227103429437,223.328264605703,50.06632937427822,111.6641323028515,0.7986638804457953,0.3342912559170274
E1_raw_tft,438.79416460274547,316.07274823781336,62.20860626794697,158.03637411890668,0.7763424518743668,0.5036614039372591
E3_rolling_mvmd_tft,449.157088499267,316.59200613884735,64.44153801684064,158.29600306942368,0.8307054204660588,0.5197718327353802
E5_rolling_mvmd_en_tft,453.50072085400325,321.3223969413878,67.82487937710097,160.6611984706939,0.8402355623100304,0.5221450829368267
E4_rolling_mvmd_en_lstm,497.5028616587321,352.7360677719116,70.5993382136027,176.3680338859558,0.789798632218845,0.504569157337149
