experiment,RMSE_mean,MAE_mean,MAPE_mean,Pinball_P50_mean,PICP_80_mean,PINAW_80_mean
E2_global_mvmd_tft,193.2597914203427,130.81126999280215,26.76667432707306,65.40563499640108,0.7937675070028011,0.1879212260979065
E1_raw_tft,446.886451125865,321.1876802830422,62.12626360685081,160.5938401415211,0.8603524743230625,0.5270705323065734
E5_rolling_mvmd_en_tft,459.2467851237565,336.85046483722255,65.99292059825375,168.42523241861127,0.8374183006535948,0.5662259215687698
E3_rolling_mvmd_tft,468.965228496914,336.6271488580069,69.59081950262166,168.31357442900344,0.832749766573296,0.53456441931985
E4_rolling_mvmd_en_lstm,518.0392875671387,367.3751621246338,66.79752842585246,183.6875810623169,0.7806956115779645,0.5349542337159315
