experiment,RMSE_mean,MAE_mean,MAPE_mean,Pinball_P50_mean,PICP_80_mean,PINAW_80_mean
E2_global_mvmd_tft,297.6928309779817,208.18048648416877,42.00273359975521,104.09024324208438,0.8138135386119257,0.32640553336311745
E3_rolling_mvmd_tft,461.4630594687664,337.20329783617916,64.20235254404442,168.60164891808958,0.781066715542522,0.5111647890731359
E1_raw_tft,462.12665887758226,337.3791713712194,65.60512602110073,168.6895856856097,0.8160129521016618,0.5439571022171514
E5_rolling_mvmd_en_tft,477.6634894092088,341.32450640200227,63.02715824656209,170.66225320100114,0.850378787878788,0.5548907221226154
E4_rolling_mvmd_en_lstm,509.03177134195965,372.25411224365234,71.72427074114482,186.12705612182617,0.8015029325513195,0.5722447751710812
